جبر خطی, , دکتر قزلباش,  دکتر قزلباش, , 18339
كنترل صنعتي, , دکتر کلهر, احمد کلهر, 326550, 18284
سيستم های كنترل پيشرفته, , دکتر شعربافی, مازیار احمدشعربافی, 30663, 18249
آزمايشگاه ماشين هاي الكتريكي (1), , دكتر لساني, حمید لسانی, 23254, 16044
آزمايشگاه ماشين هاي الكتريكي (1), , دكتر لساني, حمید لسانی, 23254, 16044
آزمايشگاه ماشين هاي الكتريكي (1), , دكتر لساني, حمید لسانی, 23254, 16044
آزمايشگاه ماشين هاي الكتريكي (1), , دكتر لساني, حمید لسانی, 23254, 16044
آزمايشگاه ماشين هاي الكتريكي (2), , دكتر لساني, حمید لسانی, 23254, 16044
آزمايشگاه الكترونيك صنعتي, , دكتر فرهنگي, شاهرخ فرهنگی, 16756, 16027
آز عايق و فشار قوي, , دكتر محسني, حسین محسنی, 16863, 16028
آز عايق و فشار قوي, , دكتر محسني, حسین محسنی, 16863, 16028
آزمايشگاه بررسي سیستم های قدرت, , دكتر افشارنيا, سعید افشارنیا, 24498, 16054
آزمایشگاه روشنائی فنی, , دکتر شایگانی, امیر عباس شایگانی اکمل, 26910, 16083
كارگاه برق, , دكتر داورپناه/ دکتر محسنی, حسین محسنی, 16863, 16028
كارگاه برق, , دكتر داورپناه/ دکتر محسنی, حسین محسنی, 16863, 16028
كارگاه برق, , دكتر داورپناه/ دکتر محسنی, حسین محسنی, 16863, 16028
كارگاه برق, , دكتر داورپناه/ دکتر محسنی, حسین محسنی, 16863, 16028
الكترونيك صنعتي, , دكتر آسایی, بهزاد آسائی, 26962, 16085
عایق ها و فشار قوی, , دکتر صمیمی, مهندس صمیمی, , 18308
رله و حفاظت, , دكتر صنایع پسند, مجید صنایع پسند, 25435, 16060
طراحی خطوط و انتقال انرژی, , دکتر داورپناه, مهدی داور پناه, 30228, 16120
ماشين های الکتريکی (3), , مهندس نبوی, سیدمحمدتقی نبوی رضوی, 23985, 16049
روشنایی فنی, , دکتر شایگانی, امیر عباس شایگانی اکمل, 26910, 16083
آزمايشگاه پايگاه داده ها, , مهندس عمادی, مهدی عمادی, 392377, 18262
